tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,support_tickets_90d,satisfaction_score,churn
19,91.88,1788.97,Month-to-month,DSL,Electronic check,Yes,0,5,1
48,62.77,3113.38,Two year,DSL,Electronic check,No,3,3,0
16,69.65,1123.09,One year,DSL,Mailed check,No,3,2,1
60,60.8,3423.26,Month-to-month,DSL,Credit card,No,2,3,0
10,91.92,878.81,One year,Fiber optic,Electronic check,Yes,0,3,0
21,52.5,1101.2,One year,DSL,Electronic check,No,1,2,0
2,58.18,116.6,Month-to-month,DSL,Electronic check,Yes,2,4,0
40,84.0,3093.66,One year,Fiber optic,Credit card,No,3,4,0
24,96.72,2285.23,One year,Fiber optic,Electronic check,No,1,2,0
60,94.11,5912.7,One year,Fiber optic,Bank transfer,No,3,2,1
17,72.74,1147.18,One year,DSL,Credit card,Yes,0,4,0
6,101.21,587.77,One year,Fiber optic,Bank transfer,Yes,4,3,1
29,75.23,2173.51,Month-to-month,DSL,Electronic check,Yes,2,4,0
14,70.99,1035.42,Month-to-month,DSL,Electronic check,Yes,0,3,0
36,60.77,2033.94,Month-to-month,No,Electronic check,Yes,1,4,0
10,92.81,954.75,One year,Fiber optic,Credit card,Yes,1,4,0
53,37.98,1932.38,Month-to-month,No,Credit card,No,0,5,0
22,67.62,1426.36,Month-to-month,DSL,Electronic check,No,1,4,0
19,80.31,1457.87,One year,Fiber optic,Mailed check,Yes,0,3,0
51,82.84,4373.36,Month-to-month,Fiber optic,Electronic check,No,1,2,1
40,84.71,3190.15,Month-to-month,Fiber optic,Mailed check,Yes,1,4,0
12,90.0,1003.8,Two year,Fiber optic,Mailed check,No,2,2,0
40,65.15,2667.16,One year,Fiber optic,Credit card,No,2,4,0
34,85.0,2986.7,One year,Fiber optic,Mailed check,No,3,4,1
20,73.89,1409.04,Month-to-month,No,Electronic check,Yes,0,5,0
38,112.3,4465.8,One year,Fiber optic,Mailed check,Yes,3,3,0
53,101.84,5619.92,Two year,Fiber optic,Credit card,Yes,1,4,0
20,58.55,1095.71,Month-to-month,DSL,Mailed check,No,1,4,0
20,87.55,1646.26,Month-to-month,No,Credit card,Yes,3,3,1
20,47.22,915.41,Month-to-month,No,Mailed check,No,1,3,0
11,60.23,667.41,Two year,No,Bank transfer,Yes,2,3,0
20,61.52,1133.15,Month-to-month,No,Mailed check,No,1,3,0
18,98.76,1776.88,Month-to-month,Fiber optic,Credit card,Yes,4,4,1
18,81.07,1504.97,Month-to-month,DSL,Bank transfer,Yes,1,4,0
17,71.61,1195.71,Two year,Fiber optic,Mailed check,Yes,2,4,0
8,56.14,417.88,Month-to-month,No,Bank transfer,Yes,1,4,1
43,92.57,3760.22,Month-to-month,Fiber optic,Electronic check,Yes,2,4,1
13,66.72,867.41,Two year,DSL,Electronic check,Yes,0,4,0
55,79.56,4376.35,Month-to-month,Fiber optic,Electronic check,No,3,2,0
9,69.45,586.88,One year,No,Bank transfer,Yes,0,4,0
63,92.05,5806.43,Month-to-month,Fiber optic,Credit card,Yes,2,3,0
16,71.9,1104.35,Month-to-month,No,Bank transfer,Yes,2,3,0
40,66.16,2470.2,Month-to-month,No,Mailed check,No,5,2,0
24,109.97,2618.8,Month-to-month,Fiber optic,Electronic check,Yes,0,4,0
7,48.24,340.71,Month-to-month,DSL,Credit card,No,3,2,0
7,94.0,627.84,One year,Fiber optic,Electronic check,Yes,4,3,0
12,111.14,1361.5,Month-to-month,Fiber optic,Electronic check,Yes,1,4,0
15,101.77,1417.19,Month-to-month,Fiber optic,Credit card,Yes,2,5,1
21,87.08,1746.54,One year,DSL,Credit card,Yes,2,3,0
27,92.78,2449.48,Two year,Fiber optic,Electronic check,Yes,3,3,0
19,65.77,1228.03,Month-to-month,DSL,Mailed check,Yes,1,3,0
26,54.16,1408.65,Month-to-month,DSL,Credit card,No,2,2,1
30,102.45,2952.61,Month-to-month,Fiber optic,Electronic check,No,2,2,1
18,70.82,1199.67,Two year,Fiber optic,Credit card,No,1,3,0
34,82.17,2921.73,Two year,Fiber optic,Electronic check,No,1,3,0
39,86.42,3151.42,Month-to-month,Fiber optic,Mailed check,Yes,0,4,0
30,46.26,1277.8,Month-to-month,No,Electronic check,No,4,3,0
31,86.7,2662.49,Month-to-month,Fiber optic,Electronic check,No,2,3,0
25,71.75,1685.81,One year,DSL,Electronic check,No,1,3,1
46,58.57,2710.3,Month-to-month,No,Electronic check,No,1,3,0
21,78.19,1650.98,Month-to-month,Fiber optic,Credit card,No,0,3,0
13,73.76,944.92,Month-to-month,DSL,Mailed check,No,3,3,0
22,62.33,1321.64,One year,No,Electronic check,Yes,0,4,0
7,70.11,495.49,Two year,DSL,Mailed check,No,3,4,0
6,112.68,674.02,Month-to-month,Fiber optic,Electronic check,Yes,1,3,0
39,36.08,1345.65,Two year,DSL,Bank transfer,Yes,2,5,0
56,83.78,4385.86,Month-to-month,No,Mailed check,Yes,0,4,0
17,94.4,1504.08,One year,DSL,Mailed check,No,0,3,0
40,98.64,3923.15,Two year,DSL,Bank transfer,Yes,0,4,0
3,68.17,200.23,One year,DSL,Mailed check,No,0,3,0
30,77.43,2341.23,Month-to-month,DSL,Credit card,No,5,3,1
21,77.9,1514.71,Month-to-month,Fiber optic,Bank transfer,No,2,3,1
62,63.4,4112.52,Two year,No,Electronic check,Yes,0,3,0
19,92.25,1739.56,One year,Fiber optic,Electronic check,Yes,0,4,0
9,51.5,439.22,Month-to-month,No,Electronic check,No,1,3,1
5,96.75,457.84,One year,Fiber optic,Credit card,Yes,1,2,0
22,74.6,1696.7,Month-to-month,DSL,Credit card,Yes,2,4,0
25,39.62,922.02,Month-to-month,No,Credit card,No,0,3,1
18,65.87,1107.38,Two year,DSL,Bank transfer,No,2,3,0
40,78.1,3191.4,Month-to-month,Fiber optic,Credit card,No,3,4,0
52,72.45,3930.17,Month-to-month,DSL,Mailed check,No,2,4,1
16,84.68,1324.16,Month-to-month,Fiber optic,Bank transfer,Yes,3,5,0
4,69.12,257.83,Two year,Fiber optic,Mailed check,No,4,2,0
26,51.29,1346.34,Month-to-month,DSL,Credit card,No,2,4,0
46,53.33,2343.87,Month-to-month,No,Credit card,No,3,3,0
16,49.29,822.8,Month-to-month,No,Bank transfer,Yes,1,4,0
31,62.9,2022.51,Month-to-month,DSL,Credit card,Yes,4,4,0
8,72.39,599.02,Month-to-month,DSL,Credit card,No,2,3,1
26,71.19,1703.66,Month-to-month,Fiber optic,Electronic check,Yes,2,5,0
32,97.5,3251.56,Month-to-month,Fiber optic,Mailed check,Yes,1,4,0
27,52.02,1417.23,One year,DSL,Bank transfer,Yes,2,3,0
72,62.25,4151.72,Month-to-month,DSL,Bank transfer,No,1,1,0
55,77.28,4307.41,Month-to-month,DSL,Mailed check,Yes,2,4,0
35,79.85,2905.58,One year,Fiber optic,Mailed check,No,4,4,0
44,97.49,4138.59,Month-to-month,Fiber optic,Electronic check,No,1,4,1
26,79.66,2088.48,Month-to-month,Fiber optic,Credit card,No,3,3,0
21,69.1,1397.71,Two year,DSL,Bank transfer,Yes,3,3,0
15,73.71,1111.42,One year,Fiber optic,Bank transfer,Yes,2,3,0
8,100.59,795.45,One year,Fiber optic,Electronic check,Yes,1,3,0
57,94.07,5023.02,Month-to-month,DSL,Electronic check,Yes,3,3,0
72,93.63,6208.63,Two year,Fiber optic,Mailed check,Yes,2,4,0
22,99.35,2227.9,Month-to-month,Fiber optic,Electronic check,Yes,1,4,0
22,66.28,1383.47,Month-to-month,DSL,Electronic check,Yes,3,4,1
33,91.45,2936.91,Two year,Fiber optic,Electronic check,No,2,3,0
19,87.82,1728.96,Month-to-month,DSL,Electronic check,Yes,0,5,1
9,49.08,455.02,One year,No,Electronic check,No,1,5,1
7,87.61,615.04,Month-to-month,Fiber optic,Bank transfer,Yes,1,3,1
72,100.5,6917.63,Month-to-month,Fiber optic,Bank transfer,Yes,2,5,0
5,68.74,321.79,One year,DSL,Mailed check,No,2,3,0
27,55.97,1425.46,Month-to-month,DSL,Credit card,No,2,3,0
5,34.17,178.28,One year,No,Mailed check,Yes,6,4,0
20,99.72,1998.32,Month-to-month,Fiber optic,Credit card,No,2,3,1
16,55.42,863.41,Month-to-month,No,Electronic check,No,2,4,1
6,71.61,448.07,One year,DSL,Electronic check,No,1,1,0
33,91.61,2990.85,Month-to-month,Fiber optic,Electronic check,No,1,4,0
9,67.21,588.2,One year,DSL,Credit card,Yes,0,4,0
5,84.17,394.07,Month-to-month,Fiber optic,Credit card,Yes,0,4,1
36,110.47,3702.63,Month-to-month,Fiber optic,Mailed check,Yes,1,4,0
16,92.37,1488.34,Month-to-month,Fiber optic,Credit card,Yes,0,4,1
12,97.91,1089.33,One year,Fiber optic,Electronic check,No,3,3,0
37,103.19,3553.4,Month-to-month,DSL,Bank transfer,Yes,0,5,0
8,84.63,707.53,Month-to-month,Fiber optic,Electronic check,Yes,1,3,1
4,83.94,334.77,Two year,Fiber optic,Bank transfer,Yes,1,5,0
49,80.17,4070.52,Month-to-month,Fiber optic,Electronic check,No,2,4,0
66,67.77,4213.33,One year,DSL,Bank transfer,No,1,3,0
19,51.11,1013.35,Month-to-month,No,Mailed check,No,0,4,0
19,90.76,1744.9,Month-to-month,Fiber optic,Bank transfer,No,3,2,1
39,68.0,2548.53,Month-to-month,No,Electronic check,No,0,4,0
46,59.49,2839.97,Month-to-month,DSL,Mailed check,Yes,0,3,1
9,79.31,666.43,One year,No,Electronic check,Yes,0,4,0
17,71.5,1259.68,Month-to-month,DSL,Electronic check,No,2,3,0
26,61.33,1603.99,Month-to-month,DSL,Mailed check,Yes,3,4,0
37,75.26,2745.81,One year,DSL,Electronic check,Yes,0,3,1
35,47.79,1730.41,One year,DSL,Mailed check,No,4,3,0
31,47.68,1362.49,Month-to-month,No,Electronic check,Yes,1,3,0
46,66.38,3030.07,Month-to-month,No,Mailed check,No,1,4,0
21,70.7,1463.92,Month-to-month,DSL,Mailed check,No,5,2,1
57,85.69,4591.93,Two year,DSL,Electronic check,No,1,3,0
14,48.88,652.67,One year,DSL,Electronic check,No,0,3,1
35,67.73,2237.7,One year,DSL,Bank transfer,No,1,4,0
15,75.5,1078.23,Month-to-month,DSL,Credit card,Yes,0,3,0
20,57.47,1162.67,Month-to-month,DSL,Electronic check,No,2,4,1
22,103.36,2377.21,Month-to-month,Fiber optic,Electronic check,Yes,5,4,0
15,63.61,958.37,Month-to-month,No,Credit card,No,1,2,1
47,90.15,4202.3,Month-to-month,Fiber optic,Electronic check,Yes,0,4,0
16,72.04,1134.16,Month-to-month,Fiber optic,Electronic check,Yes,0,4,1
21,94.37,1859.27,Month-to-month,Fiber optic,Electronic check,No,1,1,1
32,63.33,2062.13,Month-to-month,Fiber optic,Credit card,No,4,3,0
72,57.42,4293.5,Month-to-month,DSL,Mailed check,Yes,1,3,0
33,81.66,2609.87,Month-to-month,Fiber optic,Electronic check,Yes,2,3,1
23,88.6,1905.64,One year,Fiber optic,Mailed check,No,2,3,1
3,90.22,273.58,One year,Fiber optic,Electronic check,No,4,3,0
19,109.85,2122.53,Month-to-month,Fiber optic,Electronic check,No,4,3,1
13,43.67,532.76,One year,No,Credit card,Yes,1,2,0
17,49.52,800.98,Month-to-month,DSL,Mailed check,No,5,2,1
15,65.19,942.88,Month-to-month,Fiber optic,Bank transfer,Yes,1,2,0
32,46.11,1419.45,Two year,DSL,Credit card,No,2,2,1
19,68.43,1242.74,Month-to-month,DSL,Electronic check,No,3,4,0
10,75.98,756.9,One year,DSL,Electronic check,No,3,3,1
40,107.26,4421.76,Month-to-month,Fiber optic,Electronic check,Yes,4,2,1
7,65.69,458.12,Month-to-month,DSL,Bank transfer,No,0,3,0
22,80.79,1672.29,Month-to-month,Fiber optic,Mailed check,No,2,5,0
19,91.2,1626.05,Month-to-month,Fiber optic,Mailed check,No,2,3,1
28,69.57,2036.84,Month-to-month,No,Electronic check,No,4,1,1
46,77.61,3288.36,Month-to-month,Fiber optic,Electronic check,No,1,3,1
72,83.25,6243.08,Month-to-month,Fiber optic,Mailed check,No,2,5,0
23,86.46,1949.83,Month-to-month,Fiber optic,Electronic check,No,7,2,1
13,44.55,533.29,Month-to-month,DSL,Credit card,No,2,4,0
12,106.13,1212.16,Month-to-month,Fiber optic,Credit card,Yes,1,4,1
12,79.0,948.06,Month-to-month,Fiber optic,Credit card,Yes,1,5,0
27,79.5,2032.56,Month-to-month,Fiber optic,Mailed check,No,4,3,1
3,99.65,310.92,One year,Fiber optic,Electronic check,No,2,3,0
7,66.61,430.83,Two year,DSL,Mailed check,Yes,1,4,0
27,105.12,2735.95,Month-to-month,Fiber optic,Electronic check,Yes,2,3,1
41,58.1,2298.58,Month-to-month,DSL,Credit card,Yes,0,4,0
42,94.24,4002.52,Two year,Fiber optic,Bank transfer,No,3,3,1
23,39.92,962.33,One year,No,Electronic check,No,2,4,0
38,58.12,2304.6,Two year,DSL,Bank transfer,Yes,1,2,0
47,80.07,3667.21,One year,Fiber optic,Electronic check,Yes,3,3,0
16,84.0,1347.73,One year,Fiber optic,Bank transfer,No,2,4,0
44,70.38,3218.83,Month-to-month,DSL,Mailed check,Yes,3,4,0
5,60.05,305.49,Month-to-month,DSL,Credit card,No,1,2,1
7,77.28,508.34,One year,Fiber optic,Credit card,No,7,2,1
17,76.0,1343.07,Month-to-month,Fiber optic,Electronic check,No,4,3,1
4,83.06,325.06,One year,DSL,Bank transfer,Yes,2,3,0
32,83.19,2595.81,Two year,Fiber optic,Electronic check,No,2,3,0
14,65.89,856.71,Month-to-month,Fiber optic,Credit card,No,0,3,0
20,108.39,2236.53,Month-to-month,Fiber optic,Mailed check,Yes,3,2,1
20,72.08,1497.68,Two year,DSL,Credit card,No,1,3,0
16,78.09,1294.93,Two year,Fiber optic,Credit card,No,5,3,1
11,96.76,1005.98,Two year,Fiber optic,Electronic check,Yes,0,4,0
31,109.59,3173.85,One year,Fiber optic,Electronic check,Yes,1,3,0
14,63.48,843.3,Two year,DSL,Bank transfer,Yes,3,2,0
20,86.36,1645.58,Month-to-month,DSL,Electronic check,Yes,1,3,1
28,86.88,2344.29,Month-to-month,DSL,Electronic check,Yes,0,2,1
47,74.56,3456.75,Month-to-month,DSL,Mailed check,Yes,1,4,0
44,65.03,2999.36,Month-to-month,DSL,Mailed check,No,3,3,0
15,59.41,862.47,Two year,DSL,Mailed check,No,1,4,0
11,58.67,612.42,Month-to-month,No,Electronic check,No,0,4,0
53,61.48,3084.94,One year,No,Electronic check,No,2,4,1
14,108.62,1516.21,Month-to-month,Fiber optic,Electronic check,No,2,3,1
31,83.06,2599.59,One year,DSL,Bank transfer,Yes,0,4,0
4,85.36,334.56,Month-to-month,Fiber optic,Mailed check,Yes,1,3,1
2,77.19,158.38,Month-to-month,Fiber optic,Mailed check,No,6,2,1
23,86.1,1825.87,Month-to-month,Fiber optic,Credit card,No,1,4,0
18,51.66,929.29,Month-to-month,DSL,Credit card,No,5,2,1
36,52.4,1884.01,Month-to-month,No,Electronic check,No,2,3,0
12,57.76,718.62,One year,DSL,Credit card,No,0,3,0
27,66.44,1698.04,Month-to-month,DSL,Electronic check,No,3,3,0
35,74.08,2511.02,Two year,Fiber optic,Bank transfer,No,5,2,1
12,74.96,885.24,Two year,No,Electronic check,No,1,4,0
17,74.72,1255.13,Month-to-month,Fiber optic,Electronic check,No,0,3,0
8,70.41,538.92,Month-to-month,No,Credit card,Yes,0,4,0
37,69.6,2539.85,Month-to-month,Fiber optic,Bank transfer,No,1,2,0
32,83.49,2514.47,Month-to-month,Fiber optic,Electronic check,No,5,3,1
33,60.44,1931.08,Month-to-month,DSL,Credit card,Yes,2,4,0
18,102.33,1920.76,Two year,Fiber optic,Electronic check,No,2,2,0
31,86.82,2540.85,Two year,Fiber optic,Electronic check,Yes,2,3,0
19,60.87,1084.7,Month-to-month,DSL,Mailed check,No,2,2,1
59,63.39,3455.15,One year,DSL,Bank transfer,No,2,3,1
21,81.69,1741.49,Two year,Fiber optic,Bank transfer,Yes,2,4,0
42,48.93,2056.16,Month-to-month,DSL,Mailed check,No,3,4,0
18,78.25,1332.73,Two year,DSL,Mailed check,Yes,3,4,0
51,65.26,3237.0,Two year,Fiber optic,Mailed check,No,3,2,0
11,100.4,1043.56,Two year,Fiber optic,Mailed check,No,2,3,0
29,56.75,1663.42,One year,DSL,Electronic check,No,0,4,0
13,38.68,471.61,Month-to-month,No,Electronic check,No,0,1,1
26,92.77,2455.91,Month-to-month,Fiber optic,Bank transfer,Yes,5,3,0
14,75.98,1025.6,Two year,DSL,Credit card,No,1,3,1
21,49.4,1018.58,Month-to-month,DSL,Mailed check,No,1,5,1
15,61.42,944.25,Month-to-month,DSL,Electronic check,Yes,0,4,0
34,78.97,2655.83,Month-to-month,DSL,Bank transfer,Yes,1,5,1
30,77.7,2261.55,Month-to-month,DSL,Electronic check,No,3,3,1
12,101.66,1183.06,Month-to-month,Fiber optic,Bank transfer,Yes,1,4,0
12,57.14,677.39,Two year,No,Mailed check,No,0,4,0
10,70.58,664.41,Month-to-month,DSL,Mailed check,No,0,4,0
8,89.25,682.67,Month-to-month,DSL,Electronic check,Yes,3,4,1
36,47.57,1699.53,Month-to-month,DSL,Credit card,Yes,3,3,0
10,76.63,725.21,One year,Fiber optic,Electronic check,Yes,2,2,0
27,77.63,2095.3,One year,DSL,Electronic check,Yes,0,4,0
14,74.82,998.69,Two year,DSL,Mailed check,No,1,4,0
42,81.99,3453.09,Two year,Fiber optic,Credit card,Yes,2,3,0
69,77.41,5000.06,Month-to-month,Fiber optic,Bank transfer,No,4,4,0
1,78.02,76.87,Two year,DSL,Mailed check,Yes,1,3,0
11,61.78,691.48,Month-to-month,DSL,Mailed check,Yes,1,4,0
14,66.63,896.48,One year,DSL,Mailed check,No,2,3,0
18,114.12,2093.72,One year,Fiber optic,Electronic check,Yes,0,5,0
17,58.83,963.07,Month-to-month,DSL,Electronic check,No,1,3,1
7,101.35,723.98,Month-to-month,Fiber optic,Mailed check,Yes,2,4,0
69,74.27,5292.13,One year,DSL,Bank transfer,No,1,3,0
18,69.32,1155.65,Month-to-month,DSL,Bank transfer,Yes,3,2,0
30,65.96,1888.6,One year,DSL,Credit card,Yes,1,4,0
30,59.4,1863.56,Month-to-month,No,Mailed check,No,5,3,1
5,96.78,451.09,One year,Fiber optic,Bank transfer,Yes,3,3,1
16,71.64,1073.89,Two year,Fiber optic,Credit card,No,0,4,0
36,84.05,2789.91,Month-to-month,DSL,Electronic check,No,5,2,1
53,37.34,1888.99,Month-to-month,DSL,Mailed check,No,2,2,0
16,90.63,1445.21,One year,DSL,Bank transfer,Yes,0,4,0
6,57.3,327.7,Month-to-month,No,Bank transfer,No,4,3,0
13,71.26,968.9,Month-to-month,DSL,Credit card,Yes,1,3,1
16,96.18,1507.94,One year,Fiber optic,Bank transfer,Yes,2,4,0
15,103.08,1545.55,Month-to-month,Fiber optic,Credit card,Yes,2,3,0
10,52.74,500.9,One year,No,Electronic check,No,0,4,0
6,80.22,482.25,Month-to-month,Fiber optic,Credit card,No,5,2,1
8,53.03,405.32,Month-to-month,DSL,Electronic check,No,1,3,0
13,58.16,787.93,Month-to-month,No,Electronic check,No,0,3,0
35,74.9,2691.6,Two year,DSL,Electronic check,Yes,0,5,0
45,98.3,4076.28,Month-to-month,Fiber optic,Bank transfer,Yes,2,4,0
23,80.74,1807.72,Month-to-month,DSL,Electronic check,No,3,3,1
8,71.17,554.53,Month-to-month,Fiber optic,Electronic check,No,2,3,1
14,55.42,768.75,One year,No,Bank transfer,Yes,0,4,0
3,65.48,201.26,One year,DSL,Mailed check,No,0,2,1
54,61.91,3454.05,Month-to-month,DSL,Mailed check,No,2,2,1
12,86.43,1032.19,Month-to-month,Fiber optic,Mailed check,Yes,0,5,1
28,78.5,2221.34,Month-to-month,Fiber optic,Credit card,No,4,2,1
43,93.17,3834.21,One year,Fiber optic,Bank transfer,No,4,4,0
64,51.66,3078.95,Two year,DSL,Mailed check,No,2,3,0
38,61.15,2140.01,One year,DSL,Credit card,Yes,1,5,0
15,49.12,680.04,One year,No,Credit card,Yes,3,4,1
31,82.21,2586.03,Month-to-month,Fiber optic,Mailed check,No,1,3,1
62,102.04,5991.06,One year,Fiber optic,Electronic check,Yes,1,4,0
12,71.52,868.54,One year,DSL,Electronic check,Yes,2,3,1
5,89.89,418.87,Month-to-month,DSL,Bank transfer,Yes,1,4,0
10,59.85,613.8,Two year,DSL,Credit card,No,1,3,0
29,97.41,2828.49,Month-to-month,Fiber optic,Electronic check,Yes,2,5,0
16,99.46,1542.48,One year,Fiber optic,Mailed check,Yes,2,2,0
20,60.5,1242.72,One year,DSL,Electronic check,No,2,3,0
33,26.43,881.16,Two year,No,Mailed check,No,2,4,0
10,60.96,626.99,Month-to-month,No,Credit card,Yes,1,3,1
19,67.46,1297.52,Two year,DSL,Credit card,No,1,4,0
14,54.63,708.6,Month-to-month,DSL,Credit card,No,0,4,0
61,46.83,2839.43,Month-to-month,DSL,Mailed check,Yes,0,5,0
37,59.26,2172.18,Two year,DSL,Bank transfer,Yes,0,4,0
16,97.71,1605.34,Month-to-month,Fiber optic,Credit card,No,4,3,1
15,80.68,1141.53,One year,Fiber optic,Bank transfer,No,2,3,1
65,46.76,2885.58,Month-to-month,No,Credit card,No,0,3,1
62,48.29,2791.46,Two year,No,Electronic check,Yes,2,4,0
29,76.77,2178.84,One year,DSL,Electronic check,No,1,3,0
20,101.11,1861.81,Month-to-month,Fiber optic,Electronic check,Yes,2,4,0
7,76.33,534.59,Two year,DSL,Credit card,No,2,4,0
10,97.28,914.14,Month-to-month,Fiber optic,Electronic check,Yes,1,4,1
6,82.57,465.51,One year,Fiber optic,Credit card,No,4,2,1
44,63.58,2609.85,One year,DSL,Mailed check,No,2,4,1
7,72.62,497.92,One year,DSL,Bank transfer,No,2,3,0
15,79.54,1131.08,One year,Fiber optic,Bank transfer,No,4,4,0
3,45.33,125.74,Two year,DSL,Mailed check,No,3,2,1
5,77.06,365.54,One year,DSL,Electronic check,No,0,3,0
34,97.52,3363.19,Two year,Fiber optic,Bank transfer,No,5,3,1
26,98.92,2367.87,Month-to-month,Fiber optic,Credit card,No,2,3,1
21,77.39,1548.46,Month-to-month,DSL,Electronic check,No,0,3,1
15,55.91,796.31,One year,No,Electronic check,Yes,0,3,0
4,33.41,127.45,Month-to-month,No,Credit card,No,0,2,0
13,107.62,1327.19,Month-to-month,Fiber optic,Electronic check,Yes,3,2,1
18,72.98,1268.78,One year,DSL,Electronic check,Yes,1,3,1
32,57.93,1890.41,Month-to-month,No,Credit card,No,3,5,0
42,111.2,4684.05,Month-to-month,Fiber optic,Bank transfer,Yes,3,4,0
35,67.71,2281.65,Month-to-month,DSL,Electronic check,Yes,3,3,1
26,73.31,1931.01,Month-to-month,Fiber optic,Credit card,No,2,3,0
21,71.32,1442.83,Month-to-month,DSL,Bank transfer,No,2,2,1
24,94.88,2235.12,Month-to-month,Fiber optic,Electronic check,Yes,3,1,1
13,87.88,1140.14,Two year,Fiber optic,Mailed check,No,3,3,0
22,97.76,2134.46,Month-to-month,Fiber optic,Credit card,Yes,1,3,0
18,88.7,1547.07,Two year,Fiber optic,Bank transfer,Yes,1,3,0
72,86.35,5933.16,Two year,Fiber optic,Bank transfer,Yes,3,3,0
25,90.77,2281.2,Month-to-month,Fiber optic,Mailed check,No,4,2,1
2,60.1,116.78,Two year,DSL,Electronic check,No,2,3,0
14,82.0,1142.83,Month-to-month,Fiber optic,Bank transfer,No,3,2,1
17,87.05,1440.93,One year,Fiber optic,Electronic check,No,2,3,0
38,82.54,3208.46,Two year,Fiber optic,Credit card,No,0,2,0
27,71.39,2008.84,Two year,No,Electronic check,Yes,1,5,0
26,88.06,2387.16,Month-to-month,Fiber optic,Electronic check,No,1,4,1
50,63.39,2930.82,Month-to-month,DSL,Electronic check,No,1,3,0
62,87.72,5338.61,Month-to-month,Fiber optic,Credit card,No,2,3,0
34,77.87,2561.03,Two year,Fiber optic,Mailed check,No,1,4,0
15,65.59,916.69,Month-to-month,No,Mailed check,No,1,4,0
16,77.34,1273.42,Month-to-month,DSL,Mailed check,Yes,1,3,0
46,74.95,3471.18,Month-to-month,DSL,Bank transfer,No,5,2,1
16,88.72,1411.08,Month-to-month,Fiber optic,Credit card,Yes,2,3,0
20,110.98,2307.46,Month-to-month,Fiber optic,Electronic check,Yes,3,4,1
14,89.43,1256.59,Month-to-month,Fiber optic,Electronic check,No,4,2,0
8,87.18,725.12,One year,Fiber optic,Credit card,Yes,1,4,0
72,34.32,2488.62,Month-to-month,No,Mailed check,No,1,4,0
20,113.47,2110.97,Month-to-month,Fiber optic,Bank transfer,Yes,0,4,1
55,88.59,4493.7,Month-to-month,Fiber optic,Electronic check,No,2,2,1
16,110.52,1828.25,Month-to-month,Fiber optic,Credit card,Yes,3,4,1
12,108.79,1291.98,One year,Fiber optic,Credit card,Yes,1,4,1
32,77.46,2387.23,Month-to-month,Fiber optic,Mailed check,Yes,0,4,0
42,103.21,4326.33,Month-to-month,Fiber optic,Electronic check,No,3,3,1
44,57.43,2468.13,Month-to-month,No,Electronic check,Yes,1,3,0
18,73.82,1273.56,Month-to-month,DSL,Electronic check,Yes,3,3,0
34,100.39,3295.6,Two year,Fiber optic,Mailed check,Yes,0,4,0
13,81.61,1062.1,Two year,Fiber optic,Mailed check,Yes,2,3,0
22,69.15,1525.95,Month-to-month,DSL,Bank transfer,No,2,3,0
17,92.74,1641.62,Month-to-month,Fiber optic,Electronic check,No,4,3,0
15,43.16,662.57,Month-to-month,No,Electronic check,No,1,2,0
23,70.62,1652.24,One year,DSL,Credit card,Yes,0,3,0
8,85.05,696.14,Month-to-month,DSL,Electronic check,No,2,3,0
40,46.51,1715.57,Two year,DSL,Credit card,No,2,3,0
15,81.4,1278.89,Month-to-month,Fiber optic,Bank transfer,Yes,2,3,0
38,91.71,3640.1,Two year,Fiber optic,Electronic check,No,5,2,0
10,66.3,629.9,Month-to-month,DSL,Bank transfer,Yes,1,4,0
15,81.93,1265.07,Month-to-month,Fiber optic,Credit card,Yes,3,2,0
8,71.27,552.64,Month-to-month,Fiber optic,Credit card,No,5,3,1
8,48.12,389.98,Month-to-month,No,Electronic check,No,2,2,1
11,83.26,874.07,Two year,DSL,Electronic check,No,2,3,0
10,79.11,824.67,Month-to-month,Fiber optic,Mailed check,No,5,2,1
8,53.23,441.38,Month-to-month,No,Electronic check,No,1,3,1
21,75.68,1630.83,Two year,Fiber optic,Electronic check,No,3,3,0
31,64.49,1854.54,Month-to-month,No,Credit card,No,1,3,0
33,97.52,2989.57,Month-to-month,Fiber optic,Bank transfer,No,2,4,1
4,72.79,287.88,Month-to-month,DSL,Credit card,No,3,2,0
17,80.98,1423.99,Month-to-month,DSL,Mailed check,Yes,1,3,1
15,109.07,1551.99,Two year,Fiber optic,Electronic check,Yes,2,3,0
51,42.96,2052.73,Month-to-month,No,Electronic check,No,1,3,0
17,87.33,1454.32,One year,Fiber optic,Bank transfer,Yes,4,3,0
20,36.32,756.37,Month-to-month,No,Mailed check,No,4,2,0
6,91.39,571.84,Month-to-month,Fiber optic,Mailed check,Yes,0,4,0
10,108.76,1132.26,One year,Fiber optic,Electronic check,Yes,0,5,0
5,78.89,388.99,One year,Fiber optic,Mailed check,Yes,2,3,1
22,118.75,2721.91,One year,Fiber optic,Electronic check,Yes,2,4,0
52,80.34,4376.7,Month-to-month,DSL,Electronic check,Yes,3,5,0
11,60.25,688.18,Month-to-month,DSL,Credit card,Yes,0,4,0
17,53.92,895.4,One year,No,Bank transfer,No,0,2,1
10,57.28,545.6,One year,DSL,Credit card,Yes,1,3,0
13,60.47,800.03,Month-to-month,DSL,Credit card,Yes,0,3,0
